Air,Water
55,70.824
54.7395,70.824
54.47925,70.651
54.21875,70.48
53.95825,70.308
53.698,70.308
53.4375,70.308
53.177,70.308
52.8335,70.308
52.3125,70.137
51.7915,70.137
51.271,70.137
51.125,70.137
51.3855,70.137
51.64575,69.964
51.90625,69.964
51,69.793
51,69.793
51,69.793
51,69.622
51.66640001,69.622
52.5,69.449
53.3336,69.449
54.1664,69.278
55,69.278
56.30249999,69.278
57.60375,69.107
58.90625,69.107
60.25049999,69.107
61.81200001,68.934
63.375,68.934
64.938,68.934
66.24975001,68.934
67.03125,68.934
67.81275,68.934
68.5935,69.107
69.625,69.107
70.92749999,69.107
72.22875,69.278
73.53125,69.278
74.3335,69.449
74.854,69.449
75.375,69.622
75.896,69.793
76.3332,69.964
76.75,70.137
77.1668,70.308
77.5832,70.48
78,70.651
78.7815,70.824
79.56225,70.995
80.34375,71.168
81.04175,71.339
81.302,71.512
81.5625,71.683
81.823,71.856
81.91675,71.856
81.65625,72.028
81.39575,72.199
81.1355,72.372
81.125,72.545
81.3855,72.718
81.64575,72.718
81.90625,72.891
82,73.062
82,73.234
82,73.234
82,73.407
81.6668,73.407
81.25,73.58
80.8332,73.58
80.4168,73.58
80,73.58
79.479,73.58
78.9585,73.58
78.4375,73.58
77.58250002,73.58
74.97999999,73.58
72.375,73.407
69.77000001,73.407
67.58374999,73.407
66.28125,73.407
64.97875,73.234
63.67749999,73.234
63,73.062
63,73.062
63,73.062
63,72.891
62.6665,72.891
62.146,72.891
61.625,72.718
61.104,72.718
60.33359999,72.545
59.5,72.545
58.6664,72.372
57.8336,72.372
57,72.372
57,72.372
57,72.372
57,72.199
56.95825,72.199
56.698,72.199
56.4375,72.028
56.177,72.028
56,72.028
56,71.856
56,71.856
56,71.683
55.75,71.683
55.229,71.683
54.7085,71.512
54.1875,71.512
54,71.339
54,71.339
54,71.168
54,71.168
54.55533334,70.995
55.25,70.995
55.94466666,70.995
56,70.824
57,70.824
58.04199999,70.651
59.083,70.651
60.125,70.651
61.25049999,70.48
62.81200001,70.48
64.375,70.308
65.938,70.308
67.49950001,70.308
69.0625,70.308
70.417,70.308
71.45800001,70.308
72.875,70.308
74.69849999,70.308
76.52025001,70.48
78.34374999,70.48
79.3335,70.48
79.854,70.651
80.375,70.651
80.896,70.824
81.3332,70.995
81.75,70.995
82.1668,71.168
82.5832,71.339
83,71.339
83.2605,71.512
83.52075,71.683
83.78125,71.856
83.9165,72.028
83.396,72.028
82.875,72.199
82.354,72.372
81.91675,72.545
81.65625,72.718
81.39575,72.718
81.1355,72.891
80.875,73.062
80.6145,73.062
80.35425,73.234
80.09375,73.234
79.6665,73.407
79.146,73.407
78.625,73.407
78.104,73.407
77.8334,73.407
77.625,73.407
77.4166,73.407
77.2084,73.234
77,73.234
76.479,73.062
75.9585,73.062
75.4375,72.891
74.74950001,72.891
73.18799999,72.891
71.625,72.718
70.062,72.718
69,72.545
69,72.545
69,72.372
69,72.372
68.75,72.372
68.229,72.199
68.2915,72.199
68.8125,72.199
68.83325,72.199
68.573,72.199
68.3125,72.199
68.052,72.199
67.8334,72.199
67.625,72.199
67.4166,72.199
67.2084,72.199
67,72.199
66.65266667,72.199
66.30566667,72.199
66.125,72.199
67,72.199
67,72.199
67,72.199
67,72.199
67,72.199
67,72.199
67,72.199
67,72.199
67.125,72.028
67.3855,72.028
67.64575,72.028
67.90625,72.028
67.83325,72.028
67.573,72.028
67.3125,72.028
67.052,71.856
67,71.856
67,71.856
67,71.856
67,71.856
67,71.856
67,71.683
67.0415,71.683
67.5625,71.683
68,71.683
68,71.683
68,71.512
68,71.512
68.33300001,71.512
69.375,71.512
70,71.512
70,71.512
70,71.512
70,71.512
70,71.512
70,71.512
70.16675,71.512
70.427,71.512
70.6875,71.512
70.948,71.512
71,71.512
71,71.512
71,71.512
71.95800001,71.512
75,71.683
74.30533334,71.683
73.61133333,71.683
73.125,71.683
74.04175,71.683
74.302,71.683
74.5625,71.856
74.823,71.856
75,71.856
75,71.856
75,72.028
75,72.028
75.125,72.028
75.3855,72.028
75.64575,72.028
75.90625,72.028
76,72.028
76,72.199
76,72.199
76,72.199
75.6668,72.199
